"","I.S07","I.S29","I.S34","S.S05","S.S08","S.S32"
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Hyphomonadaceae*Hirschia*Hirschia maritima",6,1,2,17,1,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Kangiellaceae*Kangiella*Kangiella sediminilitoris",19,23,13,2,11,2
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Hyphomonadaceae*Euryhalocaulis*Euryhalocaulis caribicus",10,121,5,10,4,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales*Xanthomonadaceae*Lysobacter*Lysobacter sp. A03",3,1,12,5,3,10
"Bacteria*Proteobacteria*Betaproteobacteria*NA*NA*NA*beta proteobacterium L13",2,5,1,2,1,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Enterobacter*Enterobacter sp. Bisph1",2,2,1,4,3,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Cellvibrionales*Cellvibrionaceae*NA*Cellvibrionaceae bacterium 1162T.S.0a.05",18,5,31,5,2,3
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Rhodospirillaceae*Thalassospira*Thalassospira alkalitolerans",12,6,1,6,5,3
"Bacteria*Proteobacteria*Gammaproteobacteria*Chromatiales*Ectothiorhodospiraceae*Spiribacter*Spiribacter salinus",8,15,4,4,11,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales*Vibrionaceae*Vibrio*Vibrio panuliri",1,2,7,10,4,3
"Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales*Xanthomonadaceae*Lysobacter*Lysobacter arseniciresistens",3,4,2,5,1,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Aeromonadaceae*Oceanisphaera*Oceanisphaera profunda",24,6,9,2,3,5
"Bacteria*Proteobacteria*Alphaproteobacteria*Sneathiellales*Sneathiellaceae*Sneathiella*Sneathiella chungangensis",15,1,1,6,5,2
"Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales*Rickettsiaceae*Rickettsia*Rickettsia endosymbiont of Proechinophthirus fluctus",7,4,2,3,4,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Ursidibacter*Ursidibacter arcticus",6,22,14,13,2,37
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Phyllobacteriaceae*Hoeflea*Hoeflea sp. BAL378",1,22,3,10,1,2
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Ancalomicrobiaceae*Siculibacillus*Siculibacillus lacustris",29,14,5,19,2,9
"Bacteria*Proteobacteria*Alphaproteobacteria*Kiloniellales*Kiloniellaceae*Kiloniella*Kiloniella litopenaei",32,10,3,187,2,7
"Bacteria*Proteobacteria*Betaproteobacteria*Nitrosomonadales*Methylophilaceae*Candidatus Methylopumilus*Candidatus Methylopumilus planktonicus",14,25,3,4,2,2
"Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales*Sphingomonadaceae*Sphingomonas*Sphingomonas hengshuiensis",7,15,26,18,4,9
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Yersiniaceae*Chania*Chania multitudinisentens",3,2,2,3,8,7
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Burkholderiaceae*Burkholderia*Burkholderia sp. L27(2015)",8,1,3,6,6,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales*Vibrionaceae*Vibrio*Vibrio barjaei",8,5,6,9,3,3
"Bacteria*Proteobacteria*Gammaproteobacteria*NA*NA*NA*Gammaproteobacteria bacterium SG8_31",11,6,9,12,3,5
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Comamonadaceae*Curvibacter*Curvibacter sp. PAE-UM",2,1,1,2,4,8
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Xanthobacteraceae*Pseudolabrys*Pseudolabrys sp. Root1462",17,5,7,5,10,5
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Oxalobacteraceae*Noviherbaspirillum*Noviherbaspirillum sp. Root189",12,28,6,9,2,3
"Bacteria*Proteobacteria*Gammaproteobacteria*Chromatiales*Ectothiorhodospiraceae*Acidihalobacter*Acidihalobacter ferrooxidans",6,12,3,8,2,2
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Burkholderiaceae*Caballeronia*Caballeronia catudaia",6,3,3,2,2,5
"Bacteria*Proteobacteria*Betaproteobacteria*Nitrosomonadales*Gallionellaceae*Sulfuriferula*Sulfuriferula thiophila",4,3,1,7,1,2
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Burkholderiaceae*Pararobbsia*Pararobbsia silviterrae",16,3,17,10,7,1
"Bacteria*Proteobacteria*Betaproteobacteria*NA*NA*NA*Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_67_26",49,6,7,8,4,5
"Bacteria*Proteobacteria*Betaproteobacteria*NA*NA*NA*Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_65_14",9,53,6,46,8,14
"Bacteria*Proteobacteria*Deltaproteobacteria*NA*NA*NA*Deltaproteobacteria bacterium GWA2_45_12",6,2,9,8,3,1
"Bacteria*Proteobacteria*Deltaproteobacteria*NA*NA*NA*Deltaproteobacteria bacterium GWA2_54_12",12,11,6,45,15,12
"Bacteria*Proteobacteria*Deltaproteobacteria*NA*NA*NA*Deltaproteobacteria bacterium RBG_16_54_11",2,3,8,32,1,1
"Bacteria*Proteobacteria*Deltaproteobacteria*NA*NA*NA*Deltaproteobacteria bacterium RBG_19FT_COMBO_46_12",3,4,2,7,3,6
"Bacteria*Proteobacteria*Gammaproteobacteria*NA*NA*NA*Gammaproteobacteria bacterium GWE2_37_16",8,4,18,46,3,10
"Bacteria*Proteobacteria*Gammaproteobacteria*NA*NA*NA*Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_40_19",8,3,1,4,8,6
"Bacteria*Proteobacteria*Gammaproteobacteria*NA*NA*NA*Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_42_10",9,6,1,2,3,1
"Bacteria*Proteobacteria*Deltaproteobacteria*Desulfuromonadales*Geobacteraceae*NA*Geobacteraceae bacterium GWC2_55_20",1,1,1,1,18,1
"Bacteria*Proteobacteria*Betaproteobacteria*Nitrosomonadales*Methylophilaceae*Methylotenera*Methylotenera sp. RIFCSPLOWO2_02_FULL_45_14",6,3,12,14,2,6
"Bacteria*Proteobacteria*Deltaproteobacteria*Desulfuromonadales*NA*NA*Desulfuromonadales bacterium C00003096",9,4,6,3,4,3
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Comamonadaceae*Variovorax*Variovorax sp.",20,1,5,10,4,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales*Rhodanobacteraceae*Rhodanobacter*Rhodanobacter sp.",10,10,4,26,6,7
"Bacteria*Proteobacteria*Alphaproteobacteria*NA*NA*NA*Alphaproteobacteria bacterium 40-19",10,10,22,19,3,6
"Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales*Erythrobacteraceae*Porphyrobacter*Porphyrobacter sp. LM 6",18,3,2,8,11,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Pectobacteriaceae*Pectobacterium*Pectobacterium parmentieri",3,1,1,3,2,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Rodentibacter*Rodentibacter ratti",22,7,5,4,14,6
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Comamonadaceae*Limnohabitans*Limnohabitans sp.",7,7,2,4,3,1
"Bacteria*Proteobacteria*Deltaproteobacteria*Desulfobacterales*Desulfobacteraceae*NA*Desulfobacteraceae bacterium 4484_190.2",7,6,8,13,8,4
"Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales*Rickettsiaceae*Rickettsia*Rickettsia endosymbiont of Culicoides newsteadi",2,22,18,16,7,7
"Bacteria*Proteobacteria*Alphaproteobacteria*NA*NA*NA*Alphaproteobacteria bacterium 32-64-14",5,3,13,7,1,20
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae*NA*Rhodobacteraceae bacterium CG17_big_fil_post_rev_8_21_14_2_50_65_11",3,8,16,1,1,5
"Bacteria*Proteobacteria*Alphaproteobacteria*Pelagibacterales*Pelagibacteraceae*NA*Pelagibacteraceae bacterium TMED13",2,5,1,4,12,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Pelagibacterales*Pelagibacteraceae*Candidatus Pelagibacter*Candidatus Pelagibacter sp. TMED273",8,9,1,51,2,1
"Bacteria*Proteobacteria*Betaproteobacteria*NA*NA*NA*Betaproteobacteria bacterium HGW-Betaproteobacteria-14",3,6,4,2,1,3
"Bacteria*Proteobacteria*Deltaproteobacteria*NA*NA*NA*Deltaproteobacteria bacterium HGW-Deltaproteobacteria-2",12,4,9,36,1,2
"Bacteria*Proteobacteria*Deltaproteobacteria*NA*NA*NA*Deltaproteobacteria bacterium HGW-Deltaproteobacteria-9",19,4,8,8,2,1
"Bacteria*Proteobacteria*Betaproteobacteria*Rhodocyclales*Zoogloeaceae*Azoarcus*Azoarcus sp. M9-3-2",3,7,3,1,9,1
"Bacteria*Proteobacteria*Epsilonproteobacteria*Campylobacterales*Campylobacteraceae*Halarcobacter*Halarcobacter mediterraneus",17,19,1,7,14,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Oceanospirillaceae*Oleibacter*Oleibacter sp.",13,1,5,5,4,3
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Hyphomicrobiaceae*Pelagibacterium*Pelagibacterium lentulum",6,18,2,2,9,3
"Bacteria*Proteobacteria*Gammaproteobacteria*Thiotrichales*Piscirickettsiaceae*NA*Piscirickettsiaceae bacterium",16,30,8,13,3,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Pectobacteriaceae*Pectobacterium*Pectobacterium polaris",6,2,13,1,5,24
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae*Acidimangrovimonas*Acidimangrovimonas sediminis",12,5,2,8,1,1
"Bacteria*Proteobacteria*Deltaproteobacteria*Bradymonadales*NA*NA*Bradymonadales bacterium",17,9,5,22,6,10
"Bacteria*Proteobacteria*Gammaproteobacteria*Cellvibrionales*Cellvibrionaceae*Cellvibrio*Cellvibrio sp. YR554",116,3,2,26,1,6
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae*Labrenzia*Labrenzia sp. 011",4,5,1,6,1,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae*NA*Rhodobacteraceae bacterium BAR1",9,12,6,6,8,2
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Comamonadaceae*Rhodoferax*Rhodoferax sp. IMCC26218",4,3,3,4,1,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Cellvibrionales*Cellvibrionaceae*Marinimicrobium*Marinimicrobium sp. SW121",12,5,2,3,6,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales*Vibrionaceae*Vibrio*Vibrio maerlii",2,1,25,7,3,37
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*NA*Candidatus Tokpelaia*Candidatus Tokpelaia sp.",9,11,8,4,4,7
"Bacteria*Proteobacteria*Deltaproteobacteria*Myxococcales*Myxococcaceae*Corallococcus*Corallococcus sp. H22C18031201",5,8,2,8,8,4
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae*Tropicibacter*Tropicibacter sp. LMIT003",5,2,1,5,9,8
"Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales*Rhodanobacteraceae*Dyella*Dyella sp. L4-6",10,2,1,5,8,5
"Bacteria*Proteobacteria*Deltaproteobacteria*Desulfovibrionales*Desulfovibrionaceae*Pseudodesulfovibrio*Pseudodesulfovibrio sp. S3",8,80,10,40,5,7
"Bacteria*Proteobacteria*Gammaproteobacteria*Methylococcales*NA*NA*Methylococcales bacterium",7,15,2,17,11,7
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Enterobacter*Enterobacter genomosp. O",46,2,2,7,1,1
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Burkholderiaceae*Paraburkholderia*Paraburkholderia sp. 7MK8-2",5,2,2,7,1,7
"Bacteria*Proteobacteria*Deltaproteobacteria*Desulfurellales*NA*NA*Desulfurellales bacterium",21,8,1,3,12,2
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Acetobacteraceae*Paracraurococcus*Paracraurococcus sp. NE82",21,14,4,27,18,4
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Oxalobacteraceae*Undibacterium*Undibacterium sp. B2R-29",15,57,3,15,2,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Alteromonadales*Alteromonadaceae*Marinobacter*Marinobacter sp. YJ-S3-2",10,1,3,1,4,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales*Xanthomonadaceae*Lysobacter*Lysobacter sp. N42",2,17,2,3,1,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Kangiellaceae*Pleionea*Pleionea sediminis",15,19,7,14,2,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Thiotrichales*Piscirickettsiaceae*Thiomicrorhabdus*Thiomicrorhabdus sp. G1",3,3,2,5,3,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Salmonella*Salmonella sp. zj-f60",11,13,2,24,10,7
"Bacteria*Proteobacteria*Deltaproteobacteria*Candidatus Acidulodesulfobacterales*NA*Candidatus Acidulodesulfobacterium*Candidatus Acidulodesulfobacterium ferriphilum",14,10,5,8,4,3
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Oxalobacteraceae*Lacisediminimonas*Lacisediminimonas profundi",17,8,4,22,10,6
"Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Aeromonadaceae*Aeromonas*Aeromonas sp. 8C",12,2,1,6,2,2
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Rhodospirillaceae*Magnetospirillum*Magnetospirillum sp. LM-5",10,12,3,6,6,6
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*NA*NA*Oceanospirillales bacterium S2-4-1H",3,5,15,55,10,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Alteromonadales*Alteromonadaceae*Paraglaciecola*Paraglaciecola sp. L3A3",11,1,8,1,4,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales*Vibrionaceae*Vibrio*Vibrio sp. ZWAL4003",2,7,4,5,5,1
"Bacteria*Proteobacteria*Deltaproteobacteria*Myxococcales*Archangiaceae*Stigmatella*Stigmatella aurantiaca",22,2,2,10,4,3
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Rhodospirillaceae*Azospirillum*Azospirillum lipoferum",12,4,2,8,1,5
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Alcaligenaceae*Bordetella*Bordetella avium",8,1,1,4,7,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Pectobacteriaceae*Dickeya*Dickeya chrysanthemi",2,8,4,4,1,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Aggregatibacter*Aggregatibacter segnis",3,15,10,2,17,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*NA*[Pasteurella] aerogenes",11,16,6,4,8,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales*Vibrionaceae*Vibrio*Vibrio nigripulchritudo",29,17,9,33,5,1
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Alcaligenaceae*Taylorella*Taylorella equigenitalis",6,13,7,14,11,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Halomonadaceae*Zymobacter*Zymobacter palmae",2,8,2,6,2,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Acetobacteraceae*Gluconacetobacter*Gluconacetobacter diazotrophicus",2,8,1,1,2,1
"Bacteria*Proteobacteria*Epsilonproteobacteria*Campylobacterales*Helicobacteraceae*Sulfurimonas*Sulfurimonas denitrificans",9,6,5,10,5,16
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Bradyrhizobiaceae*Oligotropha*Oligotropha carboxidovorans",2,8,2,2,5,14
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*NA*Leptothrix*Leptothrix mobilis",7,3,3,4,1,3
"Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Actinobacillus*Actinobacillus indolicus",8,1,4,1,3,4
"Bacteria*Proteobacteria*Deltaproteobacteria*Desulfovibrionales*Desulfohalobiaceae*Desulfonatronovibrio*Desulfonatronovibrio hydrogenovorans",9,8,13,11,7,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Oceanospirillaceae*Oceanospirillum*Oceanospirillum maris",2,6,1,3,1,5
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Phyllobacteriaceae*Mesorhizobium*Mesorhizobium amorphae",4,5,3,19,2,3
"Bacteria*Proteobacteria*Epsilonproteobacteria*Campylobacterales*Helicobacteraceae*Helicobacter*Helicobacter typhlonius",5,4,6,4,3,4
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Hyphomonadaceae*Hyphomonas*Hyphomonas oceanitis",1,6,14,4,5,1
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Burkholderiaceae*Cupriavidus*Cupriavidus gilardii",8,8,8,1,1,4
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Alcaligenaceae*Achromobacter*Achromobacter xylosoxidans",5,17,1,29,13,3
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Acetobacteraceae*Gluconacetobacter*Gluconacetobacter liquefaciens",6,71,12,4,2,3
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Alcaligenaceae*Oligella*Oligella ureolytica",3,17,10,17,8,10
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Brucellaceae*Ochrobactrum*Ochrobactrum tritici",7,7,1,4,5,2
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Acetobacteraceae*Acetobacter*Acetobacter peroxydans",3,14,3,1,6,4
"Bacteria*Proteobacteria*Epsilonproteobacteria*Campylobacterales*Helicobacteraceae*Helicobacter*Helicobacter suis",16,8,17,9,2,17
"Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales*Vibrionaceae*Photobacterium*Photobacterium sp. SKA34",4,1,1,3,19,59
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Burkholderiaceae*Burkholderia*Burkholderia ambifaria",2,11,5,9,6,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Yokenella*Yokenella regensburgei",6,3,3,13,1,5
"Bacteria*Proteobacteria*Acidithiobacillia*Acidithiobacillales*Acidithiobacillaceae*Acidithiobacillus*Acidithiobacillus sp. SH",1,2,3,6,2,1
"Bacteria*Proteobacteria*Betaproteobacteria*Neisseriales*Neisseriaceae*Neisseria*Neisseria sp.",1,2,2,10,5,6
"Bacteria*Proteobacteria*Gammaproteobacteria*Chromatiales*Chromatiaceae*Thiorhodococcus*Thiorhodococcus drewsii",3,7,2,17,6,3
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Acetobacteraceae*Stella*Stella vacuolata",1,5,8,4,1,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Chromatiales*Ectothiorhodospiraceae*Ectothiorhodosinus*Ectothiorhodosinus mongolicus",4,10,1,7,1,1
"Bacteria*Proteobacteria*Deltaproteobacteria*Desulfovibrionales*Desulfovibrionaceae*Desulfovibrio*Desulfovibrio sp. A2",5,41,42,17,1,6
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Burkholderiaceae*Paraburkholderia*Paraburkholderia mimosarum",2,4,3,5,3,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Alteromonadales*Alteromonadaceae*Marinobacter*Marinobacter vinifirmus",2,4,1,2,1,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae*Albimonas*Albimonas donghaensis",14,18,3,3,6,15
"Bacteria*Proteobacteria*Betaproteobacteria*Neisseriales*Chromobacteriaceae*Leeia*Leeia oryzae",17,11,4,11,4,4
"Bacteria*Proteobacteria*Betaproteobacteria*Rhodocyclales*Zoogloeaceae*Azoarcus*Azoarcus sp. DN11",8,22,10,14,1,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales*Rhodanobacteraceae*Dyella*Dyella ginsengisoli",1,6,7,3,2,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Trabulsiella*Trabulsiella odontotermitis",6,33,6,20,7,11
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Bartonellaceae*Bartonella*Bartonella australis",2,4,9,6,4,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Litoricolaceae*Litoricola*Litoricola lipolytica",14,1,5,4,3,42
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Oceanospirillaceae*Amphritea*Amphritea balenae",4,9,5,2,1,3
"Bacteria*Proteobacteria*Gammaproteobacteria*Cellvibrionales*Halieaceae*Pseudohaliea*Pseudohaliea rubra",2,1,1,2,3,2
"Bacteria*Proteobacteria*Gammaproteobacteria*Chromatiales*Ectothiorhodospiraceae*Halopeptonella*Halopeptonella vilamensis",3,3,1,3,2,3
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Rhodospirillaceae*Oceanibaculum*Oceanibaculum pacificum",34,9,13,12,11,18
"Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales*Sphingomonadaceae*Sphingomonas*Sphingomonas rubra",1,8,2,6,3,14
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Alcaligenaceae*Paenalcaligenes*Paenalcaligenes hominis",5,5,7,2,1,69
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae*Pacificibacter*Pacificibacter marinus",2,6,1,2,1,7
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Acetobacteraceae*Neokomagataea*Neokomagataea tanensis",6,10,4,6,7,3
"Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales*Vibrionaceae*Vibrio*Vibrio caribbeanicus",9,2,3,1,12,2
"Bacteria*Proteobacteria*Betaproteobacteria*Rhodocyclales*Rhodocyclaceae*Candidatus Dactylopiibacterium*Candidatus Dactylopiibacterium carminicum",3,8,3,12,12,23
"Bacteria*Proteobacteria*Gammaproteobacteria*Legionellales*Legionellaceae*Legionella*Legionella steelei",15,5,8,1,1,8
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Acetobacteraceae*Humitalea*Humitalea rosea",3,6,4,12,1,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Thiotrichales*Piscirickettsiaceae*Methylophaga*Methylophaga lonarensis",6,4,1,6,3,1
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Burkholderiaceae*Burkholderia*Candidatus Burkholderia crenata",3,1,4,3,1,2
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Oxalobacteraceae*Janthinobacterium*Janthinobacterium sp. CG3",5,3,4,7,3,2
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Comamonadaceae*Comamonas*Comamonas serinivorans",4,5,1,8,3,5
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Methylocystaceae*Methylopila*Methylopila sp. M107",2,6,3,2,3,12
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Rhodospirillaceae*Fodinicurvata*Fodinicurvata fenggangensis",20,6,3,5,7,2
"Bacteria*Proteobacteria*Oligoflexia*Bacteriovoracales*Bacteriovoracaceae*Bacteriovorax*Bacteriovorax sp. Seq25_V",9,11,12,13,4,1
"Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales*Xanthomonadaceae*Luteimonas*Luteimonas huabeiensis",10,22,2,9,11,8
"Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Oceanospirillaceae*Bacterioplanes*Bacterioplanes sanyensis",16,6,2,4,4,3
"Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae*Acinetobacter*Acinetobacter sp. CAG:196",220,61,16,57,112,17
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Rhodospirillaceae*Candidatus Endolissoclinum*Candidatus Endolissoclinum faulkneri",3,1,15,13,3,9
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Bartonellaceae*Bartonella*Bartonella ancashensis",10,15,5,1,13,18
"Bacteria*Proteobacteria*Oligoflexia*Bacteriovoracales*Bacteriovoracaceae*Bacteriovorax*Bacteriovorax sp. BSW11_IV",4,5,9,28,3,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*NA*NA*Rhodospirillales bacterium URHD0088",27,20,4,19,8,5
"Bacteria*Proteobacteria*Gammaproteobacteria*Alteromonadales*Idiomarinaceae*Idiomarina*Idiomarina tyrosinivorans",3,1,1,14,3,4
"Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Erwiniaceae*Mixta*Mixta theicola",5,8,1,6,1,1
"Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Sutterellaceae*Dakarella*Dakarella massiliensis",28,3,1,12,6,3
"Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Pseudomonadaceae*Permianibacter*Permianibacter aggregans",7,2,2,45,4,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae*Defluviimonas*Defluviimonas aquaemixtae",8,2,2,1,2,1
"Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae*Methylocapsa*Methylocapsa palsarum",8,7,1,2,4,2
"Bacteria*Proteobacteria*Betaproteobacteria*Nitrosomonadales*Gallionellaceae*Sulfuricella*Sulfuricella sp. T08",48,4,7,19,8,2
